code,title,credits,description,,,,
ACCT 4361,International Accounting,3,Examination of international accounting issues from a managerial accounting and financial reporting perspective. This course addresses the current status of the international financial reporting standards (IFRS) and the challenges facing users of multinational enterprise’s financial information when it is prepared using IFRS or other national financial reporting regimes.,,,,
ACCT 4352,Advanced Financial Accounting,3,"Accounting for the acquisition and consolidation of domestic and foreign concerns, foreign currency translations and re-measurement; accounting for branches, governmental agencies and other not-for-profit entities.",,,,
ACCT 4346,Business Ethics for Accountants,3,The objective of this course is to provide the student with an educational background in what constitutes ethical conduct in business and accounting. It will provide a framework for making ethical decisions in a student’s professional career in accounting. Requires reading and comprehending complex case problems and the use of critical thinking skills to determine a solution. Solutions must be presented in writing in a coherent and grammatically correct manner. Expertise in accounting is required as the cases involve some forensic work to determine what happened and what should have happened.,,,,
ACCT 4348,Introduction to Data Analytics in Accounting,3,"This course provides students with an introduction to data analytics with a focus on the area of accounting. Students will learn and practice analytical methods used in accounting, become proficient in understanding and presenting data, develop an ability to evaluate the integrity of data, and gain proficiency in using computer applications for data analyses.",,,,
ACCT 4344,Oil and Gas Accounting,3,Exploration and production activities of a petroleum company are examined from both a financial and tax accounting standpoint.,,,,
ACCT 4345,Software Applications in Auditing,3,"This course is designed to provide the student with a solid foundation in using various software tools to improve and enhance the audit of financial statements. Students will learn about and have practical experience with manipulating raw data to unlock the useful audit information contained in the raw data. The course will use the tools to perform data extraction, analysis, and sampling. The course will also briefly cover using the tools for fraud detection and prevention.",,,,
ACCT 4342,Government and Not-for-Profit Accounting,3,"The course covers the government and not-for-profit environment, fund accounting, budgeting, revenue and expenditure recognition and financial reporting requirements.",,,,
ACCT 4341,Auditing I,3,"An introduction to auditing theory and standards, with emphasis on the attest function, professional ethics and responsibilities, audit risk concepts and audit planning.",,,,
ACCT 4337,Business Valuation,3,"Business valuation teaches the concepts and techniques in using accounting and financial information to determine the value of a business enterprise or ownership interest. The course will cover the theories and standards in business valuation, analysis of financial statements to estimate future income, the commonly used methods of business valuation, such as the income approach, market approach, and assets approach, and the calculation of discount rates. Through this course, students will acquire the basic skills and complete hands-on exercises in valuing closely held businesses and equity investments.",,,,
ACCT 4331,Federal Taxation of Individuals,3,Identified by title each time course is offered.,,,,
ACCT 4336,Principles of Auditing,3,"This course provides students with an introduction to the internal auditing process and profession. Topics include definitions, frameworks, risk identification/analysis, governance/control issues, and conducting internal audit engagements.",,,,
ACCT 4332,Financial Information Systems,3,"Design and operation of contemporary accounting information systems, including control concepts and reporting responsibilities.",,,,
ACCT 3341,Intermediate Accounting I,3,Study of the concepts and procedures underlying the measurement and reporting of financial information.,,,,
ACCT 3333,Cost Accounting,3,"Intensive examination of cost systems, cost behavior, approaches to cost statements, implications for managerial planning and financial reporting.",,,,
ACCT 3342,Intermediate Accounting II,3,Continuation of the study of concepts and procedures underlying the measurement and reporting of financial information.,,,,
ACCT 2302,Principles of Accounting II - Managerial,3,"Accounting concepts and their application to cost behavior, budgeting, responsibility accounting, cost control and product costing.",,,,
ACCT 3331,Managerial Accounting,3,Analysis of cost systems and preparation of cost statements. Management use of cost statements for control and financial reporting. Cannot be taken for credit by accounting majors.,,,,
ACCT 3332,Financial Reporting and Analysis,3,Intermediate accounting concepts and procedures for financial reporting and analysis. Cannot be taken for credit by accounting majors.,,,,
