Code,Title,Hours,Description
MUTC 110,Introduction to Music Technology in Worship,3 hours,"This course provides an overview of various forms of technology arts, particularly as applied in 
music and worship ministry. Included are surveys of audio and visual technology commonly 
available in worship venues, digital audio workstations, basic audio engineering, utilizing 
backing tracks live, preparing backing tracks, and utilizing midi-based instruments. Visual topics 
include basic concepts in lighting design and hardware, basic concepts in projection software, 
and basic video production concepts. Management topics include current trends and tools in 
event technologies."
MUTC 210,Live Sound and Recording,3 hours,"This course provides an overview of current tools and trends in audio technologies used in 
production and performance and worship environments. It also covers common practice of 
several aspects of studio digital audio recording. (Prerequisite: MUTC 110 or equivalent)"
MUTC 262/COMM 262,Digital Technology in Worship,3 hours,"189 
 
A lab course providing an overview of theoretical principles and current trends in technologies 
used in production and in performance and worship environments.  The course also considers 
developing and administering a volunteer team.  Students will be involved in hands-on activities 
and event applications.  (Prerequisites: ENGL 110, ENGL 111 or their equivalents. 
Recommended: COMM 110, COMM 160 or their equivalents)"
MUTC 310,Practical Keyboard Skills,1 hour,"A lab course covering practical aspects of keyboard music for the contemporary worship 
musician. The course includes service playing, including underscore, hymn styles, Gospel music 
styles, chord voicing, reducing and rebuilding musical arrangements, chord chart realization, 
stylization, congregational leading from the keyboard, collaborative playing in an ensemble, 
improvisation, modulation, electronic keyboards, recording, choir accompaniment, score reading, 
and congregational hymn playing. (Prerequisite: general keyboard proficiency)"
MUTC 320,Live Design and Staging,3 hours,"A lab course providing hands-on experience in stage design and set building. Also an overview 
of current tools and trends in lighting technologies appropriate for various worship venues. 
Includes virtual environment, presentation software and video applications. (Prerequisite: MUTC 
110)"
MUTC 330,Film Scoring and Post-Production Audio,3 hours,"This course provides an overview of current tools and trends in video production, including pre-
production and post-production. Also, hands-on experience in use of the most useful presentation 
software in common usage. (Prerequisite: MUTC 110 or equivalent) 
 
 
 
MUTH Music Theory | Creative Methods 
Music theory at CCU involves a thorough presentation of traditional theory, with emphasis on 
practical application for the contemporary worship musician. Music creation, including 
improvisation, songwriting, composition, arranging and recording are essential parts of our 
curricular offerings. Placement for music theory is done with written and aural testing at the 
time of audition for the program. All degree candidates must demonstrate an ability to read 
music before beginning applied lessons in their major area. This requirement can be fulfilled by 
the successful completion of Theory Proficiency."
MUTH 010,Foundations of Music Theory,2 hours,"A remedial course intended to prepare students to be college-ready in their musicianship skills 
that will be covered in the program by providing training in ten essential areas: 1) Traditional 
190 
 
music notation reading (pitch, key signatures, clefs, rhythmic representation, scales, sight singing 
from notation); 2) non-traditional music notation (pitch class, rhythmic notation options, 
improvisation); 3) functional harmony (including Roman numerals); 4) non-traditional harmony 
(including chord charts, Nashville numbers, keyboard and fretboard chords); 5) health and safety 
issues for musicians (protecting muscular-skeletal and hearing); 6) the harmonic series; 7) 
Keyboard theory; 8) Fretboard theory; 9) subtractive wind instruments (woodwinds); 10) and 
additive wind instruments (brass). The material is delivered via open online presentation, and is 
tested by quizzes associated with each topic. Students can take the quizzes and study the 
materials at any time, but tutoring led by faculty or current students is available in the spring 
semester of each year."
MUTH 110,Practical Theory 1,3 hours,"A course designed to introduce practical musicians for the study of functional harmony in music 
for congregational use. Includes use of Nashville numbers, scale degree numbers, Roman 
numerals traditional notation, fretboard and keyboard theory, and is built around contemporary 
popular harmonic practices. Ear training is an essential part of the course, and focuses on 
identifying and transcribing melodies of folk and contemporary worship music. Much of the 
material is presented in video/online format, so that class sessions can be spent drilling and 
securing the information. (Prerequisite: MUTH 010, 011 or equivalent skills)"
MUTH 120,Practical Theory 2,3 hours,"Continued exploration of functional harmony from the perspective of application in music for 
congregational use. Built around Nashville numbers, scale degree numbers, fretboard and 
keyboard theory, and contemporary popular harmonic practices, as well as music of the Common 
Practice Period. Ear training is an essential part of the course, and focuses on identifying and 
transcribing more sophisticated melodies of folk, classical and contemporary worship music. 
Much of the material is presented in video/online format, so that class sessions can be spent 
drilling and securing the information. (Prerequisites: MUTH 110 or equivalent skills.)"
MUTH 215,Writing and Arranging for Worship,2-3 hours,"Principles and practice in effective composition of hymns and worship choruses. Techniques of 
arranging for keyboard, worship team, choir, worship band, orchestra, and electronic instruments 
are approached through a combination of class instruction and individual writing projects. 
(Prerequisite: MUTH 120 or equivalent)"
MUTH 220,Practical Theory 3,3 hours,"191 
 
This course is intended to complete the training in tonal functional harmony, from the 
perspective of application in music for congregational use. Focus on notation, analysis, and jazz 
theory, and contemporary popular harmonic practices of the 1960s and 1970s, as well as music 
from Debussy to the Postmodern Era. Ear training is an essential part of the course, and focuses 
on identifying and transcribing more chromatic tunes and extended harmonies of jazz ballads and 
show tunes. Much of the material is presented in video/online format, so that class sessions can 
be spent drilling and securing information. (Prerequisite: MUTH 120 or equivalent skills)"
MUTH 230,Songwriting Workshop,1 hour,"Songwriting Workshop is intended as a workshop for people who are interested in creating 
music, with the conviction that creativity is best learned in a collaborative environment. We talk 
about characteristics of effective composition and songwriting, in particular, as well as topics of 
arranging, producing, mixing and marketing music. The center of the course, however, is about 
songwriting Christian music. Guest writers are regularly featured, and collaboration is strongly 
encouraged. The course can be repeated for credit. (Prerequisites: MUTH 120 or equivalent 
skills.) 
 
 
MUWM Music and Worship | Worship Ministry 
The intersection of music and worship is the center of our department. The BSM&W contains an 
appropriate mix of both disciplines, and all courses are constructed with a view toward 
application in ministry in the local church. The courses listed here have specific practical 
ministry preparation at their core."
MUWM 110,Worship Leadership,3 hours,"This course is designed for engagement in the practical and philosophical aspects of leading 
worship. Through a survey of worship traditions and an experiential learning environment, 
students will be led toward a refined philosophy of worship and toward implementing practical 
outcomes of that philosophy. Through hands-on, creative worship planning and in-class 
discussions, students will apply classroom concepts."
MUWM 210,Psalms and Hymns and Spiritual Songs,3 hours,"A survey of worship materials intended for congregational singing. Covers scriptural, 
theological, and historical approaches to texts. Emphasis on hymn stories and backgrounds of 
authors and composers, as well as current trends in congregational song. Musical elements are 
dealt with on a basic level; no musical experience is required. (Prerequisite: MUWM 110)"
MUWM 310,Leadership & Administration in Arts Ministry,3 hours,"192 
 
A survey of the music program and its relationship to the various ministries of the church with 
philosophical and practical application of ministry in the church for the church musician.  This 
course is offered to provide general acquaintance with principles and materials for the ministry 
of the arts.  It gives an overview of the life and work of a minister of the arts. (Prerequisite:"
MUWM 380,Theology of Worship,3 hours,"A course in the Contextual Theology of Worship, with contemporary practical application. 
Provides a detailed theological view of The Gathering, a biblical survey of worship encounters 
and an experiential exploration of worship practices in many traditions, cultures, and religions. 
The end objective is that each student will have a clear vision of best practices of the church 
gathering. (Prerequisite: MUWM 110) 
 
 
 
 
 
193 
 
Graduate Course Descriptions 
 
Biblical Studies 
Biblical Language: Greek"
BSGK 510,New Testament Greek 1,3 hours,"Part one of a two-part course that introduces the student to the grammar and syntax of Koine 
Greek (New Testament Greek), with a view towards the translation and exegesis of the New 
Testament."
BSGK 511,New Testament Greek 2,3 hours,"Part two of a two-part course that introduces the student to the grammar and syntax of Koine 
Greek (New Testament Greek), with a view towards the translation and exegesis of the New 
Testament.  (Prerequisite:  BSGK 510)"
BSGK 611–619,Greek Exegesis,3 hours,"A study of selected New Testament texts. Emphasis is placed on the process of translation and 
subsequent exegesis of the texts. (Prerequisites: either BSGK 510 & 511 or their equivalents, 
OR, for students transferring in Greek credit that is the equivalent of BSGK 510 & 511 from 
another institution, a satisfactory grade on the Greek proficiency exam.)"
BSGK 790,Directed Study: Greek Exegesis,1–3 hours,"An independent study of New Testament or related Greek to be arranged with specific faculty 
members, with the approval of the Biblical Studies Department Chair and the Dean of the Foster 
School of Biblical Studies. 1-3 hours 
 
Biblical Language: Hebrew"
BSHB 510,Biblical Hebrew 1,3 hours,"194 
 
Part one of a two-part course that introduces the student to the grammar and syntax of Biblical 
Hebrew, with a view towards the translation and exegesis of the Hebrew Bible."
BSHB 511,Biblical Hebrew 2,3 hours,"Part two of a two-part course that introduces the student to the grammar and syntax of Biblical 
Hebrew, with a view towards the translation and exegesis of the Hebrew Bible. (Prerequisite"
BSHB 611–616,Hebrew Exegesis,3 hours,"Selected readings designed to develop proficiency in reading and translating Biblical Hebrew. 
Readings will be selected from books and portions of the Hebrew text, including narrative and 
poetic materials. (Prerequisites: either BSHB 510 & 511 or their equivalents, OR, for students 
transferring in Hebrew credit that is the equivalent of BSHB 510 & 511 from another institution, 
a satisfactory grade on the Hebrew proficiency exam.)"
BSHB 790,Hebrew/ANE Language Directed Study,1–3 hours,"An independent study of biblical Hebrew or related languages to be arranged with specific 
faculty members, with the approval of the Biblical Studies Department Chair and the Dean of the 
Foster School of Biblical Studies. 
 
Biblical Interpretation & Cultural Criticism"
BSEG 500,Introduction to Biblical Studies,3 hours,"An introduction to the history, literature, and interpretation of the Bible for students without 
requisite academic preparation in Biblical studies. This course or the equivalent is a prerequisite 
to all other Bible courses.  (Also Offered Online) 
195"
BSEG 510,Introduction to Biblical Interpretation,3 hours,"A survey of methods of Biblical exegesis, with a view to the needs of practical ministry. This 
course prepares students to produce sermons, lessons, and small group materials. (Also Offered 
Online)"
BSEG 600,Issues in Biblical Interpretation,3 hours,"A survey of historical and contemporary trends in the field of Biblical studies, exploring 
interpretive approaches to the text and the relationship between these approaches and theological 
conclusions. Prerequisite: BSEG 510 or equivalent. (Also Offered Online)"
BSEG 790,Directed Study in Biblical Interpretation,1-3 hours,"Independent study to be arranged with specific faculty members, with the approval of the 
Biblical Studies Department Chair and the Dean of the Foster School of Biblical Studies. 
 
Old Testament"
BSOT 500,Old Testament Foundations,3 hours,"196 
 
An introduction to the history, literature, and interpretation of the Old Testament for students 
without requisite academic preparation in OT studies."
BSOT 600,Issues in Old Testament Criticism,3 hours,A survey of critical issues relating to the interpretation of the Old Testament.
BSOT 641,Genesis,3 hours,"A study of the historical background and critical problems relating to this book followed by 
exegetical analysis. Emphasis is placed upon structuring devices and motifs that clarify the 
purpose of the book."
BSOT 642,Exodus,3 hours,"A study of the historical background and critical problems relating to this book, followed by 
exegetical analysis. Emphasis is placed upon the Sinai Covenant and the role of worship in 
Israel’s national life."
BSOT 645,Deuteronomy,3 hours,"A study of the historical background and critical problems relating to this book, followed by 
exegetical analysis. Links between this text and the larger trajectory of Israel’s history are 
explored."
BSOT 661,Isaiah,3 hours,"A study of the historical background and critical problems relating to this book, followed by 
exegetical analysis. Tensions generated by a message of condemnation and hope are probed."
BSOT 662,Jeremiah,3 hours,"197 
 
A study of the historical background and critical problems relating to this book, followed by 
exegetical analysis. Emphasis is placed on the role of Jeremiah as a vocal critic in the midst of a 
society in conflict."
BSOT 663,Ezekiel,3 hours,"A study of the historical background and critical problems relating to this book, followed by 
exegetical analysis. Effort is given to understanding Ezekiel’s ministry of hope and restoration to 
an exiled people."
BSOT 664,Daniel,3 hours,"A study of the historical background and critical problems relating to this book, followed by 
exegetical analysis. The sovereignty of God, eschatology, and the personal development of a 
“Kingdom perspective” are among discussion points."
BSOT 665,Minor Prophets,3 hours,"A study of the dynamic of Old Testament prophetism and resultant literature. Analysis is given 
to the historical and social background, rhetorical strategy, and contemporary application of the 
message of the Minor Prophets (Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, 
Zephaniah, Haggai, Zechariah, Malachi)."
BSOT 671,Job & Lamentations,3 hours,"A study of the historical background and critical problems related to these books, followed by 
exegetical analysis. Applications to the problem of evil are probed."
BSOT 672,Psalms,3 hours,"An introduction to the various principles and forms of Hebrew poetry, followed by a study of 
prominent themes and exegetical difficulties. Practical and devotional uses of the text are 
explored."
BSOT 680,Seminars in Old Testament Studies,3 hours,"A focused study offered according to the expertise of instructors and interests of students. May 
be repeated for credit."
BSOT 790,Directed Study in Old Testament,3 hours,"Independent study to be arranged with specific faculty members, with the approval of the 
Division Chair and the Dean of the Foster School of Biblical Studies. 
 
198"
BSOT 799,Thesis in Old Testament Studies,3 hours,New Testament
BSNT 500,New Testament Foundations,3 hours,"An introduction to the history, literature, and interpretation of the New Testament for students 
without requisite academic preparation in NT studies. This course or the equivalent is a 
prerequisite for all other BSNT courses."
BSNT 520,Life & Teachings of Jesus,3 hours,"A study of Jesus’ teaching against the background of his life and death, focusing on critical and 
exegetical issues in the canonical Gospels."
BSNT 530,Life & Teaching of Paul,3 hours,"A presentation of the framework for how Paul produces his letters and the teaching therein 
against the background of his life and the social dynamics of the ancient world. Attention will be 
focused on moving from Paul’s production of ideas to their contemporary application."
BSNT 600,Issues in New Testament Criticism,3 hours,"A survey of critical issues, relating to the interpretation of the New Testament."
BSNT 620,Issues in the Synoptic Gospels,3 hours,"A study of selected issues, arising from the critical study of the Synoptic Gospels and the 
historical Jesus, as they affect contemporary Christian faith and proclamation."
BSNT 631,Romans,3 hours,An exegetical study that includes investigation of background information and major themes.
BSNT 635,Prison Epistles,3 hours,"An exegetical study of Ephesians, Philippians, Colossians, and Philemon, analyzing both the 
central elements in Paul’s thought and his application of them in his interaction with the church. 
Attention is given to the way Paul’s gospel serves as a point of coherence for both theology and 
practice. 
 
199"
BSNT 636,Thessalonian Epistles,3 hours,"An exegetical study that includes consideration of background and critical issues. Attention is 
given to the eschatology and ethics of the letters."
BSNT 638/PMIN 648,Pastoral Epistles,3 hours,"This course offers a detailed exegetical study of 1 and 2 Timothy and Titus,  with emphasis on 
critical questions, historical context, and issues of particular concern to the contemporary church: 
inner-congregational relationships, legalism, church/state relations, gender roles, 
leadership/polity, benevolent care, mentoring."
BSNT 642,Epistle to the Hebrews,3 hours,"An exegetical study that includes an examination of critical and exegetical questions, with 
primary focus on the conceptual background and rhetorical structure of the argument of the 
book."
BSNT 643,Petrine Epistles & Jude,3 hours,"An exegetical study giving attention to critical issues, interpretive difficulties, and the theology 
of the letters."
BSNT 645,Book of Revelation,3 hours,"An exegetical study emphasizing how structuring devices and motifs unite and clarify the 
message of the text. The variety of interpretations surrounding this book is taken into account."
BSNT 650,Issues in Acts,3 hours,"A seminar course focusing on critical and theological issues in Acts with a view toward the 
contemporary application of the book."
BSNT 653/BSOT 653,History of Israel: The Intertestamental Period,3 hours,"A survey of sources and contexts used in the study of the history of Israel. Emphasis is placed on 
the larger history of the region."
BSNT 654,History of Israel: Late 2nd Temple Judaism,3 hours,"A survey and analysis of social, political, religious and ideological issues in late second temple 
Judaism, and their relationship to the New Testament and early Christianity."
BSNT 655,Christianity and the Greco-Roman Period,3 hours,"200 
 
A survey and analysis of social, religious, ethical and philosophical issues in the Greco-Roman 
world, and their relationship to the New Testament and early Christianity."
BSNT 660,Johannine Literature,3 hours,"An exegetical study emphasizing themes in the Fourth Gospel and 1, 2, and 3 John. Focused 
discussion is offered on the historical situation that produced these books and how their contents 
reflect this situation."
BSNT 790,Directed Study in New Testament Studies,1–3 hours,"Independent study to be arranged with specific faculty members, with the approval of the 
Biblical Studies Department Chair and the Dean of the Foster School of Biblical Studies."
BSNT 799,Thesis in New Testament Studies,3 hours,Theological Studies
HIST 530,History of the Restoration Movement,3 hours,"A study of the background, inauguration, and development of the Stone-Campbell movement, 
focusing on the concern for the development of Christian unity, the restoration of New 
Testament authority, and the need to balance these two with an applicable concept of Christian 
liberty in the area of non-essentials. (Also offered online.)"
HIST 560,Early Church History,3 hours,"A study of the history of the early church in the first six centuries, carrying the story down to the 
pontificate of Gregory the Great. Special attention will be given to how certain problems within 
the church gave rise to developments that created an institution radically different from that 
pictured in the New Testament."
HIST 570,The Protestant Reformation,3 hours,"A study of the church from 1500 to 1650, with special attention both to the major reformers and 
to how the sociopolitical situation in various countries channeled the Reformation in those 
countries. 
 
Ministry"
PMIN 501,Introduction to Vocational Ministry,3 hours,"This course is designed for students with minimal experience in leading a local church. It is 
integrative in nature, giving attention to preaching, evangelism, education, administration, 
pastoral care, worship, plus other practical facets of ministry."
PMIN 502,Spiritual Formation,3 hours,"A course designed to help students recognize the importance of a disciplined Christian life. 
While the focus is on one’s spiritual development, attention is given to the relatedness of the 
physical, emotional, and mental to the spiritual. Resources and practices will be presented to help 
the Christian leader personally, as well as guide others to spiritual maturity. 3 hours (Also 
Offered Online and in Hybrid Format)"
PMIN 505,Current Trends in Worship,3 hours,"202 
 
A practical survey of major trends in the public worship assemblies of today. Worship is 
explored as a central ministry of the congregation and a key factor in forming the inner life of the 
Church.  The aim of this course is to focus on the entire service of worship not only as trends and 
styles, but to examine the deeper issues that distinguish Biblical worship, promote spiritual 
growth and achieve active participation for worshipers in today’s church."
PMIN 510,Cultural Frameworks of Ministry,3 hours,"This course is designed to help the student understand the transitional atmosphere of the church 
in the post-modern era. It will assist in the interpretation of the world today and demonstrate how 
the church can be relevant while maintaining integrity and spiritual significance as the body of 
Christ."
PMIN 515,Leadership and Management for Ministry,3 hours,"This course examines biblical and contemporary principles of leadership and management, 
providing the student with foundational and relevant help in leading today’s church. Special 
topics include leading across boundaries and in diverse contexts; leading through transition; 
oversight of both paid staff and volunteers; motivation and accountability systems; and, upward/ 
360 leadership."
PMIN 521,Theology of Pastoral Care and Counseling,3 hours,"A study of the Biblical and theological foundation for pastoral care and counseling. Discussions 
include the history of pastoral care and counseling and current theological trends in the modern 
pastoral care and counseling movement."
PMIN 540,Leadership and Management for Ministry,3 hours,"This course examines Biblical and contemporary principles of leadership and management, 
providing the student with foundational and relevant help in leading today’s church in transition."
PMIN 560,Characteristics of a Healthy Church,3 hours,"This course will survey the characteristics, purpose, and function of the local church consistent 
with Scripture and relevant to the world in which it exists. Common challenges and opportunities 
for effective witness and service will be included in the material."
PMIN 561,Biblical and Contemporary Dynamics of Church Development,3 hours,"203 
 
This course will be a study of the church’s development as found in the book of Acts, a review of 
church growth principles in the 21st century, and a study of church health dynamics currently 
found in thriving local churches."
PMIN 574,Assimilation and Involvement of Members,3 hours,"This course is concerned with developing an application of the concept of an every-member 
ministry in which people are assimilated, equipped, and involved in ministry to meet human 
needs and staff the activities of the church."
PMIN 593,Extra-Curricular Learning Experience,1-3 hours,"Academic credit may be given for advanced seminars in practical ministries or pastoral 
leadership when offered by agencies and persons with appropriate academic credentials. 
Arrangements for course and number of credit hours must be made in advance of learning 
experience. Arranged with chairman of the field in which the student is studying."
PMIN 631,Pastoral Care and Communication,3 hours,"This course is intended to equip the student with a perspective for overall pastoral care in a 
church and the role that preaching and teaching plays in that care.  A great deal of a minister’s 
time and energy is devoted to pastoral care, and preaching and teaching provides a major 
component of nurturing, discipling, encouraging, and developing the body of Christ."
PMIN 648/BSNT 638,Pastoral Epistles,3 hours,"This course offers a detailed exegetical study of 1 and 2 Timothy and Titus,  with emphasis on 
critical questions, historical context, and issues of particular concern to the contemporary church: 
inner-congregational relationships, legalism, church/state relations, gender roles, 
leadership/polity, benevolent care, mentoring."
PMIN 790,Directed Study in Professional Ministries,1-3 hours,"The student is directed in reading and research in some aspect of preaching, ministry, counseling, 
or church administration according to the individual’s problems, needs, or interests. The course 
includes conferences with a faculty supervisor and papers, projects, or examinations. To be 
arranged with the approval of the Dean of the Russell School of Ministry."
COUN 500,Foundations of Mental Health Counseling,3 hours,"This course provides an overview of professional issues within the field of clinical mental health 
counseling.  This course focuses on the history and philosophy of the counseling profession, the 
professional identity and role of clinical mental health counselors, the public and private practice 
of mental health counseling, and the general framework of consultation with other helping 
professionals."
COUN 502,Spirituality & Counseling,3 hours,"The course will address questions related to the interaction of the mind with classical approaches 
to integrating spirituality and religiosity into counseling. Spiritual formation with attention to 
specific actions designed to facilitate healthy spiritual development in both counselors and 
clients will be addressed. Additional topics include the impact of trauma, family of origin issues, 
and neuroscience on spiritual and moral development and growth."
COUN 510,Counseling Theories and Methods,3 hours,"A survey of contemporary counseling theories and techniques. Topics covered will include the 
counseling process, comparison of various theoretical approaches, and an introduction to 
professional ethical issues in counseling. 
 
#COUN 511 Diagnosis of Mental and Emotional Disorders (3 hours) 
This course provides an examination and practical use of the current edition of the Diagnostic & 
Statistical Manual for Mental Disorders and an understanding of the International Classification 
of Diseases. This course focuses on conducting mental status examinations, and on the 
development and recognition of a framework for identifying symptomatology, etiology, and 
psychodynamics of mental and emotional disorders. (Offered online only)"
COUN 512,Ethical and Professional Issues in Counseling,3 hours,"205 
 
A review of ethical and legal considerations in professional counseling, which includes an 
introduction to ethical guidelines and standards of the American Counseling Association (ACA) 
and Ohio Law (4757). An examination of professional issues, including counselor identity, 
history, and philosophy of the counseling profession, professional organizations, credentialing, 
and counselor self care. Attention is given to the identity, professional standards, organizations, 
and employment settings of the mental health counselor as well as an examination, management 
and evaluation of mental health services including community programs, community 
interventions, and needs assessment in the public, private, and church organizations."
COUN 515,Human & Family Development,3 hours,"This course provides information regarding human development theory and research. Changing 
trends and issues are also explored with focus upon family life cycle variations. Emphasis is 
given to the application of scientific knowledge to select issues and thematic narratives of 
lifespan development as well as to information regarding child development in families and their 
socio-cultural contexts."
COUN 518,Theological Foundations & Counseling,3 hours,"This course provides an overview of how Christian theological foundations are relevant within 
mental health counseling, especially related to the concepts of grace, sin, suffering, healing, 
redemption, sanctification, and the image/nature of both humanity and God. Additional topics 
addressed within this course include integration of theological concepts and counseling, models 
of faith development, moral development and reasoning, cultural theologies related to 
counseling, spiritual warfare, and the personal/spiritual implications of death and 
heaven/eternity. 
 
*COUN 534 Pre-Marital Counseling (3 hours) 
An examination of the need for pre-marital counseling and a rationale and several methods to 
meet the need of helping couples prepare for a successful marriage."
COUN 561,Group Counseling,3 hours,"This course provides theoretical and experiential knowledge of group counseling. Emphasis will 
be placed on understanding group purpose, development, dynamics, roles, leadership, theories, 
methods and skills."
COUN 570,Career Counseling,3 hours,"206 
 
This course concentrates on career development theories and their implication for appraisal of 
vocationally related interests, aptitudes and personality characteristics. It will emphasize the 
practice of career development and planning for those individuals and groups desiring career 
counseling in various settings. (Only offered online with two on-site meetings at the Cincinnati 
campus)"
COUN 575,Social & Cultural Foundations,3 hours,"This course will provide an introduction to many of the current issues that counselors and 
ministers face in terms of how culture impacts their work with others. Areas of focus include: 
theories of multicultural counseling; identity development; advocacy and social justice; 
characteristics and concerns when working with diverse groups nationally and internationally; 
attitudes, beliefs, understandings and acculturative experiences designed to foster understanding 
of self and others; strategies for working competently with diverse populations; and counselors’ 
roles in promoting optimal wellness and growth of human spirit, mind and body as well as 
eliminating biases, prejudices, oppression and discrimination.  
 
#COUN 580 Counseling Assessment (3 hours) 
This course is an examination of the use of assessment and testing instruments in counseling. 
Discussions include the purpose of counseling, education, and psychological assessment; client 
welfare; competence to use and interpret tests; informed consent; release of information; proper 
diagnosis; test selection; conditions of test administration; diversity and culture; test scoring and 
interpretation; test security; obsolete and outdated test results and test construction in counseling. 
(Only offered online with 3 on-site meetings at the Cincinnati campus) 
 
#COUN 582 Counseling Techniques (3 hours) 
Practical application of basic helping skills, clinical documentation, and professional behaviors 
in counseling at the campus counseling center. An experience of initiating, developing, and 
sustaining a professional relationship. (Offered in hybrid format) 
 
#COUN 592 Counseling Practicum (3 hours) 
Initial supervised practice of counseling in the campus counseling center. Individual/triadic 
supervision and seminar discussion are used for the continued development of counseling skills, 
strategies, techniques, interventions, and professional role. (By permission only.)"
COUN 595,Substance Abuse Counseling,1 hour,"This course provides an introduction and overview of substance abuse/dependence counseling 
that includes alcohol, prescription and nonprescription drugs for adolescents and adults. Various 
theoretical models will be introduced along with the stages and process of change toward 
recovery. Assessment, interventions, treatment modalities, motivational interviewing, dual 
diagnosis, effect of trauma on addiction, treatment planning, relapse prevention are included. 
Additionally, the impact of addiction on families and how addiction manifests itself on adult 
children will be addressed. Ethical issues in the treatment of substance abuse/dependence and 
licensure requirements are discussed. (Online)"
COUN 597,Psychopharmacology for Counselors,1 hour,"An examination of psychopharmacological medications most frequently used in the treatment of 
mental health problems, including classifications, indications, contraindications and side effects. 
The course will also focus on when and how to make an appropriate referral for a medication 
evaluation."
COUN 598,Substance Abuse Prevention Strategies,1 hour,"This course will introduce the student to substance abuse prevention, including models of 
prevention, prevention and intervention strategies, needs assessments, and related factors that 
contribute to addictions and compulsive behaviors. This course is designed to partially meet 
credentialing requirements for a Licensed Chemical Dependency Counselor credential, under the 
Ohio Chemical Dependency Professionals Board (http://ocdp.ohio.gov/): Prevention Strategies 
(12 hours) and Pharmacology (3 hours)."
