code,name,credit,description
ORM 432,Human Resource Management,3,"Video Conference, Online Explores concepts and theories of human resource management necessary for understanding and applying principles 
and practices related to planning, recruitment, selection, utilization, and labor relations. Special attention is given to 
the legal environment and to management and human resources supervisory issues. Accomplishing human resource 
management functions in different-sized organizations will be considered."
ORM 443,Organizational Design and Strategy,3,"Video Conference, Online Examines the history, dynamics, and current state of organizational design, strategy, and leadership. Topics include 
organizational structure, decision-making, environmental issues, and corporate social responsibility. 
 
 
 
 
 
COURSE DESCRIPTIONS 
  
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
283"
ORM 462,Organizational Change,3,"Video Conference, Online Examines organizational change concepts necessary for identifying an organization’s systems and recognizing 
organizational influences in order to research and develop an effective written formal business proposal which is 
orally presented to the instructor and learning group. 
 
PHI (Philosophy)"
PHI 200,Introduction to Philosophy,3,"Fall, Spring, Sites, Online Introduction to logic, philosophy of science, and traditional and contemporary answers to the human problems of 
knowledge, reality, and morality."
PHI 210,Survey of Worldviews,3,"Limited Introduces and examines the major belief systems found in our contemporary world: theism, deism, naturalism, 
nihilism, existentialism, Islam, eastern religious thought, new age teaching, post-modernism, and other beliefs as 
reflected in pop culture. Explores non-western views of reality found in much of the world (animism/Spiritism) and 
compares to the western secular worldview."
PHI 301,Great Thinkers of the Western World,3,"Even Springs A survey of the greatest minds and ideas through the history of the Western World. Introduces prominent thinkers 
from the Pre-Socrates to the 21st century. Examines Plato, Aristotle, Augustine, Aquinas, Descartes, Hume and Kant, 
pragmatism, positivism, and existentialism through discussion and primary source readings.  
Prerequisite:"
PHI 318,War and Peace,3,"Odd Springs Considers the question of the ethics of war and violence from a biblical, theological, and historical perspective and 
examines the biblical and theological criteria and arguments surrounding war and violence. The Pacifist tradition and 
Just War tradition will be central to the discussion. Recent and current global events are considered, as well as 
practical application for faithful, Christian living in church and society."
PHI 334,Critical Thinking,3,"Even Springs Introduction to epistemology; critical thinking; basic reasoning, logic, and rhetoric; argumentative essay writing; and 
oral presentation. Examines epistemological theory, language theory, common fallacies, deductive and inductive 
reasoning, and the evaluation of evidence and credibility of arguments. 
Prerequisite:"
PHI 490,Philosophy Honors Project,3-6,"Limited An opportunity for a student to do a significant project of scholarly productivity and/or research in philosophy. The 
student must have senior status and a GPA of 3.50 in the major. 
 
PHY (Physics)"
PHY 102,Conceptual Physics,4,"Odd Falls A liberal arts physics course emphasizing scientific literacy, modern physics, societal connections, and appropriate 
quantitative skills at a basic math level. Practical laboratory exercises."
PHY 120,Introduction to Earth Science,4,"Spring Surveys the earth’s interior, surface, and atmosphere with emphasis on physical geology. Origin and identification of 
rocks, minerals, landforms, features of the ocean floor and currents, atmospheric circulation. Includes lab. Course fee."
PHY 131,Meteorology and Planetary Science,4,"Even Falls Includes a Christian perspective on the history and concepts of meteorology and planetary science. Labs cover the 
investigation of meteorological phenomenon in both a laboratory and real-world setting using data collected by 
students as well as data provided by governmental weather agencies. Lab fee included."
PHY 201,General Physics I,4,"Fall Trigonometry-based, classical physics with applications to the life sciences, including mechanics, 
thermodynamics, material properties and waves. Includes lab.  
Prerequisites:"
PHY 212,"Modern University Physics II (MAT 311 Differential Equations is recommended). 
 
PHY 321 Intermediate Mechanics",4,"Limited Vector analysis, statics, and dynamics of rigid bodies, particle dynamics, central forces, and simple harmonic 
oscillators with emphasis placed on the mathematical modeling of physical motions.  
Prerequisites:
PHY 202 General Physics II or PHY 212 Modern University Physics II. 
 "
PHY 350, Intermediate Laboratory,3,"Limited Principles of experimental research, with problems and applications in the areas of atomic and nuclear physics. Covers 
experimental design, data acquisition, and reduction and reporting of results. Specific lab techniques, such as vacuum 
technology, with use of magnets and the use of electronic instrumentation. 
Prerequisite: Permission of the instructor."
PHY 351,Heat and Thermodynamics,4,"Limited Thermal expansion, calorimetry, specific heat, change of state, heat transfer, thermodynamics laws, elementary 
kinetic theory and statistical mechanics, entropy, and other thermodynamic functions. 
Prerequisites:"
POL 214,State and Local Government,3,"Online A study of the structure and direction of state, county, and local governments, focusing on how they function together 
and how they relate to the national government. Examines how policy issues, such as welfare, the environment, social 
security, and zoning originate at ""lower"" levels, yet do so within the guidelines and constraints of the national agenda."
POL 230,Contemporary World Affairs,3,"Even Falls Examines contemporary events of the world, emphasizing critical use newspapers, journals of opinion, electronic 
media, and library materials. Discusses Christian perspectives and diverse views on current topics. Cross listed"
POL 236,Christianity and Politics,3,"Odd Springs Examines ancient civilizations, especially Greece and Rome, as background to Christianity, and surveys key Christian 
individuals and movements, such as Roman Catholicism (Augustine/Aquinas), Luther, Calvin, Anabaptists, Wesleyans, 
Christian socialism, Conservatism, and Christian Coalition. Covers questions dealing with the nature of the state and 
what difference Christianity makes on public policy. Cross listed"
POL 311,Comparative Government,3,"Odd Springs Examines political culture, behavior, and institutions of the governments of Great Britain, France, Germany, Russia, 
Japan, and selected other countries. Emphasizes geography and history as vital factors in understanding politics. 
Explores the government of one other sovereign state in the contemporary world. Compares political systems to lead 
students to consider the elements of a ""good"" government."
POL 312,International Relations,3,"Even Springs Examines the background of international politics and forces, organizations, and laws influencing international 
relations within the present state system."
POL 313,"America in the 1960s (3) 
See HIS 313.  
 
POL 316 Western Political Thought",3,"Even Falls Covers approaches to building human community and organizing power developed by classic philosophers of 
antiquity: Plato, Aristotle, Augustine, and Aquinas, and by the fathers of contemporary social thought: Machiavelli, 
Hobbes, Locke, Rousseau, and Kant. Cross listed"
POL 322, Globalization: International Economics in the Information Age ,3, See ECN 322. 

POL 334, The Middle East ,3, See HIS 334. 

POL 335, East Asia ,3, See HIS 335. 

POL 351, Statistics for the Behavioral Sciences ,3, See PSY 351.  

POL 352, Research Design ,3, See PSY 352. Prerequisite: POL 351. 

POL 368, Diplomatic History ,3, HIS 368.  

POL 412, Constitutional Law,3,"Even Falls A case approach to constitutional principles, organization of the U.S. judiciary, limits of state action, and protection of 
civil liberties."
POL 484,"Spirituality, Faith and Justice ",3, See SOC 484.
PSY 100, Introduction to Psychology,3,"Fall, Spring, Online, Sites Provides a broad, general introduction to the discipline of psychology. Topics include personality theory, 
psychophysiology, learning, developmental psychology, motivation, abnormal behavior, psychotherapy, and social 
psychology. Introductory psychology students will be exposed to the approaches of gathering and evaluating evidence 
 "

PSY 203,Psychology Seminar II,1,"Fall A continuation of
PSY 103 with additional activities that are designed to sharpen verbal and written communication, 
engage critical and creative thinking skills, increase self and other awareness, and focus on career plans. " 

PSY 240, Health Psychology,3,"Spring Focuses on current research on wellness through personal exercises. Students learn how to identify sources of stress 
and coping resources. Emphasizes how stress physiology impacts mental and physical health. Students conceptualize 
wellness as it relates to such fields as psychology, business, and athletics, which they apply to their personal lives.  
Prerequisite:"
PSY 321,Cognitive Psychology,2,"Spring Introduces cognitive psychology through examining major cognitive psychology theories and research. 
Prerequisite:"
PSY 352,Research Design,3,"Spring An overview of major research methodologies in the behavioral sciences, especially intended for psychology, 
sociology, social work, and political science majors. Introduces conceptualization and measurement, 
operationalization, construction of indexes, scales, typologies and sampling techniques, diversity issues, and research 
ethics. Covers basic methods for experiments, survey research, field research, program evaluation, and case studies. 
Centers around an original research project using APA Publication Manual guidelines. Uses MICROCASE computer 
statistical software curriculum. Cross listed
PSY 300 Infant and Early Childhood Development or PSY 306 Middle Childhood and Adolescent 
Development "

PSY 362, Understanding Trauma and Developing Resiliency,2,"Fall Surveys trauma theory and explores the neurobiology of trauma. Covers various forms of trauma, emphasizing 
developmental and complex trauma and their long-term effects on the individual. Examines differentiating between 
resiliency and post-traumatic growth and models for fostering resiliency. 
Prerequisite: PSY 303 Psychology Seminar III and minimum of 18 earned credit hours in the major. " 

PSY 403, Neuropsychology,4,"Fall Examines the physiological basis of behavior with an emphasis on the organization and function of the central nervous 
system. Studies psychopathology, emotion, sleep, sexuality, and stress from an anatomical and physiological 
viewpoint. The biological basis is applicable to many fields including clinical, abnormal, developmental, behavioral, 
and health psychology. Recommended for students preparing for the advanced GRE in psychology. Lab included.  
Prerequisites:"
PSY 460,Senior Research Project,3-6,"Fall, Spring Information and guidelines are available in the Psychology Department. Application required."
PSY 490,Honors Thesis,3-6,Fall, Spring; by Application Provides an opportunity for students to do a significant project of scholarly productivity and/or research in the
PSY 498, Capstone: Integration and Preparation,2,"Fall Designed to help psychology majors transition from undergraduate students to graduate school or a career in the field of psychology. Interactive seminar class focuses on the interface between the psychology field and Christianity. Emphasizes a review of psychological content, strong critical thinking skills, and dynamic communication skills. Students prepare a resume and portfolio and participate in mock job interviews. Explores graduate school application, admission interviews, and GRE information. Includes a comprehensive assessment of the field of psychology. Prerequisite:"
RDG 356,Culturally Responsive Pedagogy,3,"Odd Falls Explores the theories and research in first and second language acquisition and reading, writing, listening, and 
speaking instruction of children with linguistic, cultural, ethnic, and racial differences. Students design a Family 
Literacy plan to enhance parent involvement and literacy development of all members of the family. Fieldwork 
includes interviews with learners at various stages of English language development, including a newly arrived 
immigrant student. Using information from those interviews, students develop appropriate instructional practices for 
teaching reading, listening, speaking, and writing for the interviewees. Students translate a newsletter into the native 
speaker’s language and have their translation critiqued by a speaker of that language. ""C"" or better required. 
Prerequisites: SOE admission, ""B-"" or better in
EDU 360 Integrating Technology in Education (may be taken concurrently). 
 "
RDG 377, Young Adult Literature,3,"Odd Springs Provides broad exposure to quality classic, contemporary and multicultural young adult literature and non-fiction 
texts. Examines curricular and pedagogical issues salient to the adoption of contemporary text selections, such as 
identity, ethnicity, and gender. Students acquire sensitivity to the linguistic, historical, and cultural contexts for texts 
selected and identify key issues and reoccurring themes. Various instructional approaches will be explored, including 
reader response theory, comprehension strategies, and contemporary critical theories. Students will explore and 
develop strategies to enhance engagement and motivation in cross-curricular reading. Each TE candidate will develop 
and implement a lesson for a middle school student and determine appropriate modifications to the lesson based on 
feedback. ""C"" or better required for teacher education majors. Requires SOE admission."
RDG 424, Elementary and Middle School Reading Problems ,3, See EDU 424.  

RDG 426, Reading Interventions and Remediation,3,"Spring Focuses on reading intervention strategies and remediation based on assessment and diagnosis of reading difficulties 
in oral language, fluency, reading comprehension, vocabulary, and spelling. Students develop a field-based case study 
of an elementary or middle school reader, identify strengths and weaknesses of various components of reading, plan 
and execute interventions, and evaluate the child’s response to intervention. Interventions include a balanced reading 
instruction approach and home-based connections based on the reader’s needs. Students communicate the results of 

EDU 424, Elementary and Middle School Reading Problems, and EDU 321 
Teaching Reading and Language Arts in Primary Grades or EDU 322 Teaching Reading and Language Arts in 
Intermediate Grades "

RDG 428, Teaching Writing for PK-6 Teachers,3,"Odd Falls Candidates explore research in writing, review the developmental stages of writing, examine writing processes and 
instructional strategies, and evaluate commercial writing programs. Candidates participate in the writing process to 
better understand how writers write, to create model texts for use with students, and to contribute to a classroom 
anthology. Candidates will be on-site, supporting elementary students with writing. Candidates will demonstrate a 
variety of Pk-6 writing instructional strategies using various genres and mentor texts. Grade “C” or better required.  
Prerequisites: SOE admission, ""B-"" or better in"
REC 162,Kayaking,1,"Fall Introduces students to knowledge, skills, and abilities for kayaking. Focuses on developing competency levels 
sufficient to teach, demonstrate, and lead the activity in a recreation and/or leisure setting."
REC 163,High Ropes,1,"Even Springs Introduces students to knowledge, skills, and abilities for high ropes. Focuses on developing competency levels 
sufficient to teach, demonstrate, and lead the activity in a recreation and/or leisure setting."
REC 164,Low Ropes,1,"Odd Springs Introduces students to knowledge, skills, and abilities for low ropes. Focuses on developing competency levels 
sufficient to teach, demonstrate, and lead the activity in a recreation and/or leisure setting."
REC 165,Basic Rock Climbing,1,"Fall, Spring Introduces students to knowledge, skills, and abilities for basic rock climbing. Focuses on developing competency 
levels sufficient to teach, demonstrate, and lead the activity in a recreation and/or leisure setting."
REC 166,Bicycling,1,"Even Springs Introduces students to knowledge, skills, and abilities for bicycling. Focuses on developing competency levels 
sufficient to teach, demonstrate, and lead the activity in a recreation and/or leisure setting."
REC 171,Water Safety Instructor,2,"Limited Covers a range of educational methods for conducting swimming and safety courses on various levels. Emphasizes 
waterfront set up for campus and recreational facilities. American Red Cross certification can be earned.  
COURSE DESCRIPTIONS 
 
 
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
292"
REC 248,Lifeguard Training,2,"Limited Covers the skills and knowledge necessary in preventing and/or responding to aquatic emergencies. Includes 
waterfront lifeguarding module. American Red Cross certification can be earned.  
Prerequisite: appropriate swimming skills."
REC 335,"Facilities Planning and Operations for Health, Fitness, Recreation and Sports",3,"Even Falls Introduces planning, design, and operations processes in facility development. Covers an evaluation process required 
when planning, designing, and constructing facilities and establishing operations procedures. Cross listed"
REC 401,Grant Writing,2,"Limited Introduces grant writing, techniques used in the development of grant writing, and the funding and planning 
processes in developing grants in recreation and leisure areas and nonprofit organizations."
REC 424,Liability and Risk Management in Recreation and Leisure,3,"Even Springs Introduces legal issues related to risk and liability of operating recreation and leisure services. Covers protection of 
self and organizations from legal exposure by the identifying legal risks, evaluating risks, and implementing a risk 
management plan. 
Prerequisite: junior standing. 
 
REL (Religion)"
REL 231,Introduction to Apologetics,1,"Interim Explores the purpose and practice of apologetics and traditional and recent answers to questions concerning Christian 
credenda, most particularly including God (existence, character), Jesus (life, divinity, resurrection) and the Bible 
(canon, textual criticism, veracity, authority)."
REL 322,Introduction to Free Methodism,2,"Limited Examines the origin, organization, and doctrines of the Free Methodist Church. Open to any student but 
recommended for Free Methodist ministerial students."
REL 343,History of Christianity,3,"Even Falls Examines the era of the apostolic fathers, the councils, the church-state issues, scholasticism, the Reformation, and 
major leaders and movements of the modern era, including pietism, emergence of new theological patterns, social 
movements, and the missionary movement. Cross listed"
REL 346,History of Christianity in America,3,Limited Examines the origin and growth of Christianity in the U.S. from colonial times to the present. Cross listed
REL 394,World Religions,3,"Online Survey of the theories of the origin of religion. Comparative study of the history of the development and teachings of 
the leading religions of the modern world. Cross listed"
SDL 100,Introduction to Academic Programs,1,"Fall Introduces students to the academic programs at Spring Arbor University as they discern their career aspirations and 
options so they can pursue future opportunities that match their skills, talents, and interests, which align with their 
response to God’s calling on their lives. Utilizes a variety of inventories and assessments in order to guide students 
towards understanding themselves as well as occupational fields, trends and demands."
SDL 110,Introduction to Leadership Development,1,"Spring Explores various leadership concepts within the context of biblical servant leadership. Explores skills necessary to 
become an effective Christian Leader. Students have the opportunity to discover and develop their own skills/gift 
repertoire, and practice and apply course content through various SAU student leadership opportunities. 
 
 
 
 
COURSE DESCRIPTIONS 
  
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
293"
SDL 120,Life/Work Planning,1,"Fall, Spring Prepares students for success after graduation. Through various teaching methods, students will be guided through 
steps to pursuing work opportunities within a desired career field. Also provides insight into practical areas of life 
outside of work."
SDL 200,Bridging the Gap: Dialogue across Difference—Criminal Justice Reform,3,"Interim Cross campus exchange to practice dialogue skills across political, cultural, and experiential differences, with students 
from Oberlin College. Students will practice listening deeply, seeking to understand, hearing across lines of difference, 
and seeking common ground without attempting to change minds or compromising deeply held values. Offers tools to 
go beyond the headlines, create constructive tension, understand shared humanity, develop practices of effective 
communication, and solve pressing problems with those of different backgrounds and beliefs. Includes site visits with 
a broad range of criminal justice stakeholders in Michigan. Participants develop proposals for criminal justice reform, 
integrating bipartisan perspectives. 
 
SED (Special Education)"
SED 200,Foundations in Special Education,3,"Spring Focuses on exceptional learners and special education in context. Candidates will acquire knowledge of educational 
policies, practices, and design of individualized programs. Emphasis will be placed on how to serve students under the 
federally defined categories of exceptionality, individuals with cultural and linguistic needs, and the importance of 
developing relationships with families. Introduces assistive technology and its implementation. Requires 5 clock hours 
of site-based clinical work in a classroom setting for students with learning disabilities. ""C"" or better is required. May 
take concurrently with
SED 423 Special Education Assessment and EDU 230 Educational 
Psychology or ECE 266 Early Child Growth and Development, and EDU 267 Early Adolescent Development. 
"
SED 421, Secondary Special Education Methods,3,"Spring Site-based methods course with hands-on experience with content, instruction, and strategies to enable candidates to 
meet the needs of students with learning disabilities at the middle and secondary levels. Emphasizes intensive 
interventions for math, reading, written expression, social studies, science, and the arts as incorporated into the 
creation and teaching of a secondary level thematic unit plan. Candidates practice Universal Design for Learning, 
inclusion and co-teaching. Requires 20 clock hours of site-based methods work in a classroom setting for students 
with learning disabilities. ""B-"" or better is required. 
Prerequisites: SOE admission, Basic Skills Exam,SED 450 Internship Site-based Experience. "

SED 450, Internship Site-based Experience,NON, "(Fall, Spring) 
Provides observation, assessment, instructional and management opportunities in the special education classroom 
under the mentorship of a classroom teacher and University supervisor. The intern assumes increasing responsibility 
for directing the classroom. In addition to the elementary or secondary internship experience in a general education 
classroom, candidates complete a special education internship of either 10 weeks in an elementary special education 
classroom or 15 weeks in a secondary special education classroom. Requires at least 180 hours and 8 weeks of site-
based internship work in a classroom setting for students with learning disabilities. Graded ""S""/""U."" 
Prerequisites: SOE admission; completion of all required EDU courses, SED courses and the pre-student teaching 
experience; approved to student teach. 
Corequisite: SED 430 Internship Seminar. "

SED 452, Internship Site-based Experience II, NON," (Fall, Spring) 
Provides additional opportunities in the special education classroom for candidates who need more experience in the 
development of classroom techniques, as determined by their University supervisor and mentor teacher. The number 
of credits are determined based on the number of weeks required for placement per student teacher policy. 
Prerequisite: SED 450 Internship Site-based Experience. "

SOC 100, Modern Social Problems,3,"Fall, Spring A study of modern social problems such as poverty, racism, sexism, the rich and powerful, and possible solutions to 
social problems and secular and Christian theories."
SOC 101,Introduction to Sociology,3,"Fall, Spring, Online Introduces concepts, theories, and methods of analyzing society, culture, social institutions, organizations, groups, 
classes, races, and ethnic groups."
SOC 201,"Crime, Corrections, and Criminal Justice ",3, See CRJ 201.  

SOC 242, "Death, Grief, and Loss",3,"Odd Springs Examines grief and loss as experienced in various human settings – nursing homes, hospitals, and private homes, or 
through death or divorce – from various viewpoints (e.g., doctor, chaplain, E.R. nurse, the bereaved, etc.). Cross listed
PSY 242 and SWK 242. "

SOC 246, Substance Abuse and Society,3,"Even Springs, Online Addresses the issues of alcohol and drug abuse in contemporary society from a historical perspective and provides 
students with information that they can use to bring a Christian solution to the problem of substance abuse in their 
lives and the lives of those they meet personally and professionally. Cross listed PSY 246 and SWK 246."  

SOC 250, Marriage and Family,3,"Fall Examines the institution of marriage and the family with emphasis on the changes in their structures and family roles. 
Traces the family through the life-cycle and analyzes its interaction with social class, ethnic, race, and other variations. 
Explores issues of intimacy, communication and conflict that face contemporary families. Cross listed"
SOC 282,Introduction to International Development,3,"Odd Falls Introduces the history of international development, the realities of contemporary life in the world’s low-income 
countries, and the competing theoretical perspectives on development and social change. Addresses cultural, social, 
political, religious, economic, and environmental elements of people’s lives in the developing world. Surveys and 
critiques such dominant perspectives on development as modernization, dependency, world systems, globalization, 
and sustainable development. " 

SOC 300,Urban Sociology,3,"Limited Introduces theories of urbanization, urban development, and urban change with a historical and international 
emphasis. Special emphasis on contemporary issues and theories of urban society in the U. S. Topics include public 
housing, crime and urbanization, ethnic transition, and community development."
SOC 301,Criminological Theory,3, See CRJ 301. 

SOC 311, Racial and Ethnic Relations,3,"Fall, Sites, Online Examines cultures and experiences of minority ethnic groups in the U.S., and the impact of prejudice, discrimination, 
and racism on these minority groups and on white society. Cross listed"
SOC 314,Cultural Anthropology,3,"Limited Examines cross cultural sociological and anthropological perspectives on human behavior and social institutions as 
well as social and cultural similarities and differences among human populations."
SOC 327,Social Stratification,3,"Spring Addressed issues of social class, social status, and social power from historical and cross cultural perspectives. 
Students are encouraged to confront a variety of theories for the purpose of evaluating their fit with Christian faith."
SOC 351,Statistics for Behavioral Sciences,3,Fall See
SOC 352,Research Design in Behavioral Sciences,3,Spring See
SOC 354,Social Psychology,3, See PSY 354.  

SOC 360, Gender and Society,3,"Spring Explores how gender and gender roles impact on participation in major social institutions such as family, church, work, 
politics, and education. Impact of gender-role socialization across the life-span will be explored. Cross listed"
SOC 371,Organizational Behavior Management ,3, See PSY 371.  

SOC 382, International Human Rights,3,"Odd Springs Explores rights, freedoms, and protections essential to humanity on a global scale and the holistic biblical concept of 
justice and its presence or absence in countries around the world. Examines problems of the unequal distribution of 
wealth, power, and natural resources in the context of international organizations, nations, and people. Examines 
international organizations, multilateral and bilateral treaties, and country reports/histories. Analyzes conflicts such as 
the Congo, Nazi Germany, Cambodia, Bosnia, Kosovo, Rwanda, Chechnya, the Sudan, etc. Human rights issues 
discussed include sex trafficking, forced prostitution, bonded slavery, domestic/sexual abuse, the HIV/AIDS crisis, 
genocide, ethnic cleansing, systematic rape, all from a global perspective. Cross listed"
SOC 484,"Spirituality, Faith, and Justice",3,"Fall Capstone course focusing on integration of Christian faith, principles of spiritual formation, and basic principles of 
social analysis and planned change. Emphasizes the implications of the Christian faith on the understanding of social 
justice and the implications of sociological thought for praxis and planned change. Cross listed"
SPA 101,Elementary Spanish I,3,"Fall Offers training in the elements of grammar and pronunciation with emphases on the development of speaking, 
listening, reading, and writing skills taught in a cross cultural context designed to promote awareness and appreciation 
of Hispanic cultures. Does not count toward the Spanish major or minor requirements."
SPA 102,Elementary Spanish II,3,Spring Continuation ofSPA 201 Intermediate Spanish I.

SPA 306, Introduction to Spanish Literature and Culture,3,"Fall, Spring Gateway to study in advanced courses in the major or minor. Central concepts include developing advanced reading 
and critical writing skills, higher level grammatical forms, presentation skills, and the ability to critique within the 
cultural and literary contexts.  
Prerequisite:SPA 202 Intermediate Spanish II or approval by the Department of World Languages chair."

SPA 321, Advanced Spanish,3,"Even Springs Advanced grammar and composition practice including expository writing based on research and analysis. 
Prerequisite: ""B-"" or better in
SPA 306 Introduction to Spanish Literature and Culture. 
 "
SPA 322, Conversation and Phonetics,3,"Even Falls Intensive practice in speaking Spanish, with oral presentations, discussions, and listening assignments. Includes a 
linguistic study of Spanish, with emphasis on phonetics.  
Prerequisite: ""B-"" or better in"
SPE 212,Fundamentals of Speech,3,"Online Theory, organization, preparation, and practice of speechmaking. Required speeches: storytelling, inspirational, 
informative, persuasive and symposium-panel-forum."
SPE 242,Story Telling,3,"Even Springs Study and application of the history, theory, practice, and ethics of storytelling. Main focus is on developing 
storytelling skills and understanding narrative paradigms. Assignments include study and performance of personal and 
others’ stories and attending the Jackson Storyfest."
SPE 265,Acting Techniques,3,Fall Creative methods of role development for theater. Includes play analysis.
SPE 342,Oral Interpretation and Voice,3,"Even Springs Analysis, practice, and oral reading of prose, poetry, and other forms of writing. Study and application of sounds for 
improved vocal quality and clear enunciation in public speaking. Requires preparing and presenting a program of 
literature."
SPE 460,Recital,1,"Fall, Spring Students prepare and perform a developed speech. 
 
SST (Social Studies)"
SST 300,Teaching Social Studies Standards,3,"Limited Prepares candidates to teach social studies content directly aligned with the revised Michigan Social Studies Standards 
(C3 framework), including grade-level content expectations (GLCE) and high school content expectations (HSCE).  "
SWK 242, Death Grief and Loss, 3, See SOC 242. 

SWK 246, Substance Abuse and Society ,3, See SOC 246. 

SWK 250, Marriage and Family ,3, See SOC 250. 

SWK 281, Introduction to Social Work,3,"Fall, Video Conference, Online Introduces the field of social work. Explores various practice settings, the history of social work, and the purposes and 
values that guide social work practice with individuals, families, groups, organizations, and communities to promote 
social justice and social welfare. Students are encouraged to assess their potential as a social worker. ""C+"" or better 
for social work majors. 
Prerequisite: sophomore standing."
SWK 305,Human Behavior in the Social Environment,3,"Fall, Video Conference, Online Overviews biological, psychological, and social development of individuals from a life-span and family life-cycle 
perspective. Emphasizes how the interaction of the individual, culture, race, gender, and the social environment affect 
human behavior using social systems theory. Addresses issues of gender and other current social problems associated 
with the family life-cycle. Provides the theoretical foundation for social work practice with individuals, families, 
groups, organizations, and communities. Strongly recommended prerequisites of"
SWK 308,Adulthood and Aging,3,"Limited Explores human development from age 40 through death. Explores research on developmental issues such as the 
changing family, work and retirement, faith, leisure, biological changes, and health. Covers developmental tasks and 
personality characteristics that lead to successful aging. Analyzes social policies that impact the ability to meet 
personal needs. Explores how the Baby Boomers are and will be changing definitions of aging."
SWK 311,Racial and Ethnic Relations,3,"Fall, Video Conference, Online See"
SWK 322,Volunteer Administration: Managing the Work of an Unpaid Work Team,2,"Limited Explores theoretical concepts from sociology, social work, business, history, communications, theology, motivation, 
and education as they engage in what constitutes volunteer administration. Interactive exercises explore such topics 
as who is volunteering in the U.S. today, the impact of age on volunteer behavior, the history of formalized 
volunteering, the influence of religion on voluntary behavior, etc. Reviews elements essential to the effective 
organization and management of a successful volunteer program."
SWK 335,Interviewing,3,"Spring, Video Conference, Online Introduces the researched-based theory and techniques of interviewing for the helping relationship. A pre-practice 
course that will teach interviewing skills necessary for effective practice with individuals, families, groups, 
organizations, and communities. May be taken concurrent with SWK 340 Practice with Individuals and Families. Minimum ""C"" for social work majors. 
Prerequisite: SWK 305 Human Behavior in the Social Environment, or permission." 

SWK 352, Research Design ,3,"Fall, Spring, Video Conference, Online Basic theory of research design is used for a proposal for program outcome evaluation, needs assessment, and single 
subject research. Covers design and analysis of quantitative research with introduction to qualitative research 
methods. Prepares students for reading and using professional research articles. Provides a foundation for 
understanding how research methods can be used to evaluate practice at a micro- and macro-level. It is advisable for 
students to complete"
SWK 382,International Human Rights,3, See SOC 382.  

SWK 442, Social Welfare Policies,3,"Spring, Video Conference, Online Reviews the historical development and philosophical basis of social work’s response to those in need and of social 
welfare policy. Examines the current welfare system to enable students to develop beginning practice skills in the 
construction, analysis, and implementation of social welfare policy at local, state, and national levels. Prepares 
students to effectively utilize social policy as a generalist social worker. Minimum ""C"" for social work majors. 
Prerequisites:
SWK 281,Introduction to Social Work, POL 213 American National Government or POL 214 State and 
Local Government, and an introductory, microeconomics or macroeconomics course. "

SWK 446, Practice with Groups,3,"Fall, Video Conference, Online Examines theories of group behavior and the impact of group participation on human behavior with emphasis on how 
these theories can be applied to problem-solving methods for treatment and task groups. Systems theory is used to 
understand how the social work profession makes use of groups to accomplish individual, family, organizational 
and/or community goals. Covers issues of diversity within and between various groups in our society as well as group 
dynamics, group development, group decision-making, use of self within group dynamics, group leadership skills, and 
evaluation of group practice. Minimum ""C"" for social work majors. 
Prerequisites: SWK 480 Internship Seminar." 

SWK 480, Internship Seminar,2," "Spring Video Conference Online A capstone course. Integrates concepts knowledge values skills and cognitive and affective processes from previous coursework with agency experience. Provides opportunities to share learning experiences from agency placement and to demonstrate competencies through a series of integration assignments. Minimum ""C"" for social work majors. Prerequisite: Admission to the SWK major and successful completion of the field practice application process.""
SWK 484, "Spirituality, Faith and Justice" ,3,"See SOC 484."

THE 205, History of Christian Thought,3,"Limited Surveys key theological developments, doctrines, figures, and ideas that shaped Christian thought from the early 
Christian church to today. Examines the relevance of historic Christian doctrine for personal life and ministry practice."
THE 206,Doctrines of the Christian Faith,3,"Odd Falls Introduces basic and essential Christian doctrine. Explores the nature, task, and sources of theology, disputed issues 
within evangelical theology, a major contemporary issue (open view theism), and theological roots of various 
traditions. Covers major theological figures, terms, traditions, and periods of the historic Christian faith."
THE 307,"The Holy Spirit, Spiritual Gifts, and Spirit Movements",3,"Odd Springs Examines biblical, theological, and practical aspects and various related controversial issues of the person and work of 
the Holy Spirit (pneumatology), of spiritual gifts, and of Spirit-movements. Emphasizes the role of the Holy Spirit and 
spiritual gifts in the life of the believer and the church."
THE 318,Christian Origins: Heretics and Saints,3,"Odd Falls Explores seminal contributions of Christian theologians of the first five centuries of the church. Emphasizes patristic 
biblical interpretation through study of select writings pivotal for doctrinal formulation in the areas of Christology, 
Trinitarian theology, ecclesiology, and soteriology. Critically examines various exemplars (such as Irenaeus and 
Augustine) in light of contemporary ecclesial and cultural contexts and concerns.  
Prerequisites:"
